product_id,product_title,rating,total_reviews,price,top_reviews
itmb07d67f995271,"Apple iPhone 16 (Black, 128 GB)",4.6,"7,055","₹69,900",Super and cool photo || Great phone || Premium experience ✅ || I love it ❤️❤️
itm39050e63f6038,"Vaku Luxos Back Cover for Apple iPhone 16, Elemento Magpro Camera Screen Protector Support Mag-Safe Wi...",1.7,0,"₹1,845",No reviews found
